"FilingID","Other Products and Services","Business Name"
1979475,"INSURANCE","CONFIDENCE WEALTH INSURANCE SOLUTIONS LLC & CONFIDENCE LIFE INSURANCE SOLUTIONS"
1976613,"INSURANCE PRODUCTS","N/A"
1962171,"THE STONECREST FAMILY OF PRODUCTS ARE MORTGAGE FUNDS FOR ACCREDITED INVESTORS AND ARE SECURED PRIMARILY BY CALIFORNIA REAL ESTATE.",""
1977293,"INSURANCE PRODUCTS",""
1981010,"TAX ADVICE AND PREPARATION SERVICES.",""
1979459,"INSURANCE","CONFIDENCE WEALTH INSURANCE SOLUTIONS LLC & CONFIDENCE LIFE INSURANCE SOLUTIONS"
1981141,"BROKER DEALER BUSINESS INCLUDING BUT NOT LIMITED TO STOCKS, BONDS, MUTUAL FUNDS, EXCHANGE TRADES FUNDS/NOTES, VARIABLE ANNUITIES, REITS, BDC, OPTIONS.",""
1981250,"ARA PROVIDES REAL ESTATE CONSULTING SERVICES AND INDEPENDENT FIDUCIARY SERVICES.",""
1981379,"PRIMARY BUSINESS IS RETAIL BROKER-DEALER REGISTERED WITH FINRA.",""
1982354,"THROUGH AN INDEPENDENT CONTRACTOR, HEIKE LAW OFFICES LLC, GVA CLIENTS MAY ENTER INTO CERTAIN LEGAL SERVICES AGREEMENTS. CLIENTS MAY ENTER INTO AN AGREEMENT WITH INDEPENDANT CONTRACTOR NORTHPOINT ACCOUNTING & TAX TO RECEIVE ACCOUNTING AND TAX SERVICES.",""
1984017,"INSURANCE PRODUCTS","INSURANCE SALES ARE IMPLEMENTED THROUGH THE INDIVIDUAL."
1984246,"COMMISSIONABLE INSURANCE PRODUCTS","INDIVIDUAL CAPACITY"
1982107,"ASSOCIATED PERSONS ARE LICENSED INSURANCE AGENTS AND IN THEIR INDIVIDUAL CAPACITIES SELL INSURANCE PRODUCTS THROUGH VARIOUS INSURANCE AGENCIES. INDIVIDUALS SELL SECURITIES IN THEIR CAPACITIES AS REGISTERED REPRESENTATIVES OF MUTUAL SECURITIES, INC.",""
1980233,"FINANCIAL PLANNING",""
1980627,"IMPLEMENTATION OF INSURANCE SALES","INSURANCE SALES IMPLEMENTED THROUGH THE INDIVIDUAL AGENT"
1977373,"ADVISORY REPRESENTATIVES AND MANAGEMENT PERSONS ARE REGISTERED REPRESENTATIVES OFFERING SECURITIES PRODUCTS. ADDITIONALLY, THEY ARE INSURANCE LICENSED AND OFFER INSURANCE PRODUCTS.","PEOPLE MAKE THE DIFFERENCE, INC."
1982586,"ADVISOR MAY SELL INSURANCE AS APPROPRIATE. BROKERAGE PRODUCTS ALSO OFFERED IN SEPARATE CAPACITY.  CLIENTS ARE UNDER NO OBLIGATION TO PURCHASE INSURANCE FROM ADVISOR. TAX PREPARATION SERVICES.","HENRICKSON NAUTA INSURANCE ADVISORS, LLC, BROKERAGE PRODUCTS THROUGH OSAIC."
1982646,"UPTIQ AND FOCUS RISK SOLUTIONS FACILITATE SOLUTIONS FOR OUR CLIENTS. WE PROVIDE TAX PREPARATION (AND RELATED) SERVICES. DUE TO SPACE CONSTRAINTS HERE, PLEASE REFER TO SCHEDULE D - MISCELLANEOUS FOR MORE INFO.",""
1982742,"WE PROVIDE TAX PREPARATION SERVICES TO OUR CLIENTS WHO REQUEST THAT SERVICE.",""
1979287,"OUR NON-INVESTMENT SERVICES INCLUDE BILL PAY SERVICES, INSURANCE COORDINATION, TAX & ESTATE PLANNING COORDINATION, PHILANTHROPIC ADMINISTRATION, AND ENTITY OVERSIGHT & MANAGEMENT.",""
1982819,"MANY OF THE ADVISORS ARE ALSO LICENSED INSURANCE AGENTS AND/OR SECURITIES REGISTERED REPRESENTATIVES.","THE SERVICES ARE PROVIDED UNDER DIFFERENT NAMES AND VARY PER ADVISOR. ALL ADVISERS DECLARE THIS ON THEIR ADV PART 2B, U4 & OBA."
1979993,"A BROAD RANGE OF COMPREHENSIVE FINANCIAL PLANNING AND/OR CONSULTING SERVICES (WHICH MAY INCLUDE NON-INVESTMENT RELATED MATTERS) AND THE SELL OF INSURANCE PRODUCTS BY ADVISORY AFFILIATES, IN THEIR INDIVIDUAL CAPACITIES AS LICENSED INSURANCE AGENTS.",""
1980006,"WE ARRANGE SELLING AGREEMENTS WITH INSURANCE COMPANIES FOR THE SALE OF VARIABLE LIFE INSURANCE (""VUL"") POLICIES.",""
1977499,"FINANCIAL, TAX, AND ESTATE ADVISORY SERVICES; LEGACY, PHILANTHROPIC, TAX, & ESTATE PLANNING & INVESTMENT ARCHITECTURE; PREPARATION OF FINANCIAL AND TAX ANALYSES AND STATEMENTS, WEALTH ADMIN SERVICES, AND OPERATING BUSINESS CONSULTING.",""
1980067,"COMMERCIAL MORTGAGE LOAN ORIGINATION AND SERVICING",""
1980311,"CERTAIN MEMBERS OF REGISTRANT ARE LICENSED TO SELL GENERAL INSURANCE PRODUCTS.",""
1980674,"CONSULTING SERVICES",""
1980741,"INSURANCE PRODUCTS TAX PREPARATION","FAMILY LEGACY TAX SOLUTIONS, LLC"
1977395,"BROKERAGE SERVICES; INSURANCE PRODUCTS AND INVESTMENT CONSULTING SERVICES TO INSTITUTIONAL CLIENTS",""
1980625,"INSURANCE AND INVESTMENT PRODUCTS PLAN YOUR FEDERAL RETIREMENT ROUTE TO RETIREMENT BOOK AND PROGRAM SALES","PLAN YOUR FEDERAL RETIREMENT AND FERS ROUTE TO RETIREMENT"
1980588,"ADVISOR LICENSES ITS INTELLECTUAL PROPERTY TO OTHER ENTITIES INCLUDING EXCHANGE TRADED FUNDS IN WHICH CLIENTS MAY INVEST.",""
1980636,"UNDER AN ADMINISTRATIVE SERVICES AGREEMENT WITH OUR CLIENT, WE ALSO PROVIDE ADMINISTRATIVE SERVICES. WE ARE NOT PAID A FEE FOR SUCH SERVICES, BUT RECEIVE REIMBURSEMENT FOR ACTUAL EXPENSES.",""
1980758,"AS A REGISTERED BROKER AND INSURANCE AGENCY, WE AND OUR REPRESENTATIVES MAY SELL BROKERAGE PRODUCTS AND INSURANCE PRODUCTS TO OUR ADVISORY CLIENTS.",""
1980774,"MURRAY FINANCIAL GROUP, LLC DOING BUSINESS AS ISC FINANCIAL ADVISORS IS ALSO LICENSED AS AN INSURANCE AGENCY",""
1980807,"DUE DILIGENCE OF MORTGAGE LOAN FILES IN CONNECTION WITH THE ACQUISITION OF A POOL OF ASSETS; OVERSIGHT OF THIRD-PARTY REAL ESTATE BROKERS, INCLUDING PAYMENT OF PROPERTY PRESERVATION EXPENSES AND THE LIQUIDATION OF REAL ESTATE","COLUMBUS CONSULTING, LLC ; COLUMBUS REAL ESTATE MANAGEMENT, LLC"
1980824,"UPTIQ AND FLOURISH FACILITATE CREDIT AND CASH MANAGEMENT SOLUTIONS FOR OUR CLIENTS.  DUE TO SPACE CONSTRAINTS HERE, PLEASE REFER TO SCHEDULE D - MISCELLANEOUS FOR MORE INFORMATION.",""
1979656,"TAX PREPARATION SERVICES","LIFECOURSE TAX SERVICE"
1980869,"INSURANCE PRODUCTS ARE SOLD TO CLIENTS DURING THE FINANCIAL PLANNING PROCESS.",""
1980825,"INSURANCE PRODUCTS AND SERVICES",""
1980096,"INSURANCE PRODUCTS",""
1943090,"CERTAIN OF WATTS GWILLIAM & CO.'S ASSOCIATED PERSONS ARE ALSO LICENSED INSURANCE AGENTS. WITHIN THIS CAPACITY, THEY MAY RECOMMEND THE PURCHASE OF INSURANCE PRODUCTS, SUCH AS INDEX ANNUITIES.",""
1951285,"FAMILY OFFICE SERVICES",""
1977613,"COMMISSION BASED SECURITIES PRODUCTS.  SECURITIES RELATED. COMMISSION BASED INSURANCE PRODUCTS.  NOT SECURITIES RELATED. LIFE AND FIXED INSURANCE","WEH INSURANCE AGENCY, INC."
1980323,"SALE OF LIMITED PARTNERSHIP INTERESTS IN FUNDS THAT WE SPONSOR AND MANAGE.",""
1979255,"BROKER-DEALER PRODUCTS, INCLUDING PROPRIETARY LIFE INSURANCE AND ANNUITY PRODUCTS OF EQUITABLE FINANCIAL, ARE SOLD THROUGH EQUITABLE ADVISORS IN ITS CAPACITY AS A BROKER-DEALER.",""
1979730,"BILL PAY SERVICES FOR CLIENTS.",""
1980971,"IMPLEMENTATION OF COMMISSIONABLE SECURITIES SAND INVESTMENT PRODUCTS","PERSONAL CAPACITY OF ADVISORY PERSONS"
1975846,"INSURANCE PRODUCTS","INSURANCE SALES ARE IMPLEMENTED THROUGH THE INDIVIDUAL."
1977914,"FINANCIAL PLANNING AND CONSULTING SERVICES.  INSURANCE SERVICES AND IMPLEMENTATION THROUGH AFFILIATES.",""
1980529,"PRIVATE WEALTH MANAGEMENT ADVISOR AGREEMENT WITH ENVESTNET. A 3RD PARTY INVESTMENT MANAGEMENT PLATFORM. REPORTING AND CONSOLIDATION SERVICES THROUGH ADVENT (BLACK DIAMOND).",""
1980575,"IMPLEMENTATION OF COMMISSIONABLE SECURITIES RECOMMENDATIONS ,IMPLEMENTATION OF INSURANCE AND TAX SERVICES","INDIVIDUAL NAME AS REGISTERED REPRESENTATIVE OF LEVEL FOUR FINANCIAL, LLC"
1977807,"INSURANCE PRODUCTS SOLD BY INVESTMENT ADVISOR REPRESENTATIVES.",""
1977813,"CERTAIN REPRESENTATIVES WILL SELL FIXED INSURANCE OR FIXED ANNUITY PRODUCTS AS LICENSED INSURANCE AGENTS.",""
1977869,"EXPERT WITNESS/ CONSULTING FOR ASSET GIVING","IPS PHILANTHROPY ARCHITECTS (DIVISION OF INNOVEST PORTFOLIO SOLUTIONS LLC)"
1977007,"FACILITATE FAMILY MEETING, LEGACY PLANNING, COMPANY BENEFITS PLANS, DIVORCE, EMPLOYMENT NEGOTIATIONS, BUY/SELL AGREEMENT, EDUCATIONAL WORKSHOP, SETTLEMENT ACTIVITIES, EDUCATION FOR CHILDREN",""
1977996,"BROKER DEALER BUSINESS INCLUDING BUT NOT LIMITED TO STOCKS, BONDS, MUTUAL FUNDS, EXCHANGE TRADES FUNDS/NOTES, VARIABLE ANNUITIES, REITS, BDC, OPTIONS.",""
1977977,"WEIL IS A LICENSED INSURANCE BROKER AND MAY PLACE INSURANCE FOR CLIENTS.",""
1977990,"FOR A COMPLETE DESCRIPTION OF OTHER PRODUCTS AND SERVICES, SEE SCH. D, MISCELLANEOUS.",""
1978019,"TAX PREPARATION AND ESTATE PLANNING.",""
1978068,"TAX PREPARATION",""
1978036,"TAX PREPARATION, INSURANCE, ANNUITY PRODUCTS.  THE FIRM ALSO INTRODUCES CLIENTS AND OTHERS SEEKING SAVINGS ACCOUNTS.","MRA TAX SERVICES, LLC"
1978082,"IN ADDITION TO INVESTMENT ADVICE, HAMEL ASSOCIATES, INC. ALSO PROVIDES FINANCIAL PLANNING AND TAX SERVICES.",""
1978090,"RECOMMENDATIONS OF COMMISSIONABLE INVESTMENT AND INSURANCE PRODUCTS.","INDIVIDUALS MAY BE REGISTERED REPRESENTATIVES AND INSURANCE AGENTS IN THEIR INDIVIDUAL CAPACITY."
1973764,"CERTAIN ADVISORY PERSONS ARE ALSO LICENSED AS INDEPENDENT INSURANCE PROFESSIONALS. AS AN INDEPENDENT INSURANCE PROFESSIONAL, THE ADVISORY PERSON WILL EARN COMMISSION-BASED COMPENSATION FOR SELLING INSURANCE PRODUCTS FROM AFFILIATED ENTITIES","INSURANCE PRODUCTS SOLD THROUGH SERVICE OF PARENT COMPANY, GREAT VALLEY ADVISOR GROUP, DBA GVA INSURANCE BROKERS (""GVAIB"")"
1974939,"OUR AFFILIATED FIRM, ALLEGHENY INVESTMENTS, IS A LICENSED INSURANCE BROKER AND CERTAIN MEMBERS OF ALLEGHENY MANAGEMENT AND OTHER ALLEGHENY ADVISORS ARE LICENSED INSURANCE AGENTS AND MAY PROVIDE INSURANCE SERVICES.",""
1974689,"CLIENTS MAY BE OFFERED AND PURCHASE FIXED INSURANCE PRODUCTS THROUGH ANNEX INSURANCE SERVICES, LLC","ANNEX INSURANCE SERVICES, LLC"
1973953,"IMPLEMENTATION OF COMMISSIONABLE SECURITIES AND INSURANCE PRODUCTS","INDIVIDUAL CAPACITY/PURSHE KAPLAN STERLING INVESTMENTS"
1974988,"THE REGISTRANT ALSO PROVIDES THE FOLLOWING SERVICES AND PRODUCTS: PERFORMANCE MEASUREMENT REPORTING, INTERNET ACCESS TO SELECTED RESEARCH REPORTS AND INVESTMENT MANAGER DATABASES, AND ACCESS TO A PERFORMANCE BENCHMARKING CALCULATOR.",""
1975008,"IMPLEMENTATION OF INSURANCE SALES AND COMMISSIONABLE SECURITIES.","INSURANCE SALES ARE IMPLEMENTED THROUGH THE INDIVIDUAL AND COMMISSIONABLE SECURITIES THROUGH LPL FINANCIAL, LLC."
1975016,"INSURANCE PRODUCTS","DAVID A. LEE, INC."
1975041,"FOR A LIMITED NUMBER OF CLIENTS WE PROVIDE FINANCIAL MANAGEMENT SERVICES INCLUDING, BUT NOT LIMITED TO, BUSINESS AND CASH MANAGEMENT.",""
1980435,"AFFILIATES OF WEALTHCARE ASSET MANAGEMENT, LLC SELL INSURANCE PRODUCTS AND TAX STRATEGY CONSULTING TO ADVISORY CLIENTS.","AMERICAN TAX STRATEGIES, LLC"
1981252,"IMPLEMENTATION OF INSURANCE SALES AND COMMISSIONABLE SECURITIES.","INSURANCE SALES IMPLEMENTED THROUGH INDIVIDUAL AND COMMISSIONABLE SECURITIES THROUGH PROCYON RISK, LLC."
1981422,"IMPLEMENTATION OF INSURANCE SALES, AND COMMISSIONABLE SECURITIES.","INSURANCE SALES ARE IMPLEMENTED THROUGH THE INDIVIDUAL AND COMMISSIONABLE SECURITIES THROUGH LPL FINANCIAL, LLC."
1978148,"TAX PREPARATION; H, L & A INSURANCE",""
1976375,"FINANCIAL PLANNING AND INSURANCE",""
1978180,"EDUCATION AND NETWORKING SERVICES VIA LIDO CONSULTING GROUP, LLC. TAX PREPARATION AND SERVICES VIA LIDO TAX, LLC","LIDO CONSULTING GROUP, LLC LIDO TAX, LLC LIDO ADMINISTRATIIVE SERVICES, LLC LIDO PAY, LLC"
1978193,"OUR ADVISORY REPRESENTATIVES MAY BE REGISTERED REPRESENTATIVES OF OSAIC SECURITIES CORP. AND/OR LICENSED INSURANCE AGENTS AND MAY RECOMMEND SECURITIES AND/OR INSURANCE PRODUCTS TO ADVISORY CLIENTS OF ZEPHYR INVESTMENT MANAGEMENT.",""
1978196,"INSURANCE PRODUCTS",""
1978754,"RECOMMENDATIONS OF INSURANCE PRODUCTS","INDIVIDUAL NAME / CAPACITY"
1978840,"CERTAIN  REPRESENTATIVES, IN THEIR SEPARATE CAPACITY AS LICENSED  INSURANCE AGENTS MAY SELL FIXED INSURANCE OR ANNUITY PRODUCTS.",""
1978081,"AS DETAILED IN THE FIRM'S DISCLOSURE BROCHURE, CERTAIN FIRM EMPLOYEES MAY OFFER INSURANCE PRODUCTS TO ADVISORY CLIENTS IN THEIR INDIVIDUAL CAPACITIES AS INSURANCE AGENTS OF VARIOUS INSURANCE COMPANIES.",""
1978834,"BROKERAGE SERVICES MAY BE OFFERED TO CLIENTS THAT ARE ALSO INVESTMENT ADVISORY CLIENTS, BUT ONLY IN NON-ADVISORY RELATIONSHIP ACCOUNTS.","POPULAR ONE"
1978938,"OUR AFFILIATE, FOCUS RISK SOLUTIONS, MAKES REFERRALS TO LICENSED INSURANCE BROKERS AND FLOURISH FACILITATES CASH MANAGEMENT SOLUTIONS FOR OUR CLIENTS. DUE TO SPACE CONSTRAINTS HERE, PLEASE REFER TO SCHEDULE D - MISCELLANEOUS FOR MORE INFORMATION.",""
1978946,"XAI PROVIDES CONSULTING SERVICES TO FUND SPONSORS AND INVESTMENT ADVISERS IN RELATION TO MARKET INTELLIGENCE AND FUND LAUNCH STRATEGY. CONSULTING SERVICES INCLUDE DATA, RESEARCH, MARKET AND TREND REPORTING AND CUSTOM DATA RESEARCH SERVICES.",""
1979024,"INSURANCE PRODUCER LICENSED TO SELL INSURANCE PRODUCTS (SUCH AS LIFE AND DISABILITY) IN VARIOUS STATES. ALTHOUGH FREESTONE CAPITAL MANAGEMENT, LLC IS LICENSED, WE DO NOT CURRENTLY SELL INSURANCE PRODUCTS.",""
1922667,"ADVISOR MAY SELL INSURANCE AS APPROPRIATE. BROKERAGE PRODUCTS ALSO OFFERED IN SEPARATE CAPACITY.  CLIENTS ARE UNDER NO OBLIGATION TO PURCHASE INSURANCE FROM ADVISOR. TAX PREPARATION SERVICES.","HENRICKSON NAUTA INSURANCE ADVISORS, LLC, BROKERAGE PRODUCTS THROUGH OSAIC."
1975060,"TAX PLANNING & PREPARATION SERVICES; CONSULTING SERVICES; BOOKKEEPING SERVICES; BILL PAY SERVICES; SPECIAL ASSET TRANSACTION SERVICES.",""
1932084,"TAX SERVICES","N/A"
1975061,"THROUGH THE AFFILIATED ENTITY, GRAVITY INVESTMENTS, CLIENTS MAY HAVE VARIOUS INTELLECTUAL PROPERTY, SOFTWARE OR DATA LICENSING ARRANGEMENTS.  THIS MAY ALSO INCLUDE DEVELOPMENT EXPENSES FOR CUSTOMIZATIONS OR OTHER I.T. RELATED CONSULTING.","GRAVITY INVESTMENTS"
1975182,"IMPLEMENTATION OF COMMISSIONABLE SECURITIES AND INSURANCE PRODUCTS","INSURANCE SALES ARE IMPLEMENTED THROUGH THE INDIVIDUAL AND COMMISSIONABLE SECURITIES THROUGH VARIOUS BROKER-DEALERS"
1975211,"INSURANCE PRODUCTS",""
1973373,"PGIM FIXED INCOME PROVIDES SECURITIES LENDING SERVICES TO CERTAIN CLIENTS OF PGIM, INC. AND AFFILIATES.",""
1975265,"BROKER DEALER PRODUCTS AND SERVICES","N/A"
1977393,"PROVIDE INSURANCE SERVICES",""
1981829,"SELL SHARES OF THE CRM MUTUAL FUNDS, MASTER LP, UCITS AND CIT TO CLIENTS",""
1981809,"INSURANCE PRODUCTS, ANNUITIES",""
1981852,"AS DETAILED IN THE FIRM'S DISCLOSURE BROCHURE, CERTAIN FIRM EMPLOYEES MAY OFFER INSURANCE PRODUCTS TO ADVISORY CLIENTS IN THEIR INDIVIDUAL CAPACITIES AS INSURANCE AGENTS OF VARIOUS INSURANCE COMPANIES.",""
1977848,"THROUGH AN INDEPENDENT CONTRACTOR, HEIKE LAW OFFICES LLC, GVA CLIENTS MAY ENTER INTO CERTAIN LEGAL SERVICES AGREEMENTS. CLIENTS MAY ENTER INTO AN AGREEMENT WITH INDEPENDANT CONTRACTOR NORTHPOINT ACCOUNTING & TAX TO RECEIVE ACCOUNTING AND TAX SERVICES.",""
1977935,"CERTAIN REPRESENTATIVES WILL SELL FIXED INSURANCE OR FIXED ANNUITY PRODUCTS AS LICENSED INSURANCE AGENTS.",""
1977967,"UPTIQ AND FLOURISH FACILITATE CREDIT AND CASH MANAGEMENT SOLUTIONS FOR OUR CLIENTS. DUE TO SPACE CONSTRAINTS HERE, PLEASE REFER TO SCHEDULE D - MISCELLANEOUS FOR MORE INFORMATION ON FOCUS RISK SOLUTIONS, FLOURISH AND UPTIQ.",""
1968474,"UNDER AN ADMINISTRATIVE SERVICES AGREEMENT WITH OUR CLIENT, WE ALSO PROVIDE NON-ADVISORY FUND ADMINISTRATIVE SERVICES TO OUR CLIENT.",""
1941955,"FINANCIAL PLANNING SERVICES",""
1978150,"VENDOR SEARCHES, PLAN COST AND REVENUE DISRIBUTION ANALYSIS, FIDUCIARY GOVERNANCE CONSULTING",""
1975288,"RECOMMENDATIONS OF INSURANCE PRODUCTS","INDIVIDUAL NAME/CAPACITY OF ADVISORY PERSONS"
1975289,"LIFE INSURANCE PRODUCTS",""
1975295,"AS A FULL-SERVICE BROKER-DEALER, WE PROVIDE A VARIETY OF SERVICES RELATING TO INVESTMENTS IN SECURITIES, INCLUDING  INVESTMENT RESEARCH, AND RECOMMENDATIONS TO OUR BROKERAGE CLIENTS ABOUT WHETHER TO BUY, SELL OR HOLD SECURITIES.","WE SOMETIMES USE OUR BUSINESS DIV. NAME, UBS WEALTH MANAGEMENT US IN MARKETING MATERIALS."
1972243,"LIFE INSURANCE, LONG TERM CARE INSURANCE, INCOME TAX CONSULTING, VARIABLE ANNUITIES, AND FIXED ANNUITIES.",""
1973919,"ADVISER IS ENGAGED PRIMARILY IN PROVIDING COMPREHENSIVE FINANCIAL PLANNING SERVICES TO CLIENTS. INVESTMENT ADVISORY SERVICES ARE OFFERED ONLY AS PART OF A COMPLETE FINANCIAL PLANNING PROCESS.",""
1982337,"AS AN ACCOUNTANCY CORPORATION REGISTERED IN THE STATE OF CALIFORNIA, LICENSED STAFF MAY PROVIDE TAX PLANNING AND PREPARATION SERVICES TO ADVISORY CLIENTS.",""
1982610,"ASSOCIATED PERSONS OF SPC (1) MAY BE REGISTERED REPRESENTATIVES OF SPC'S BROKER-DEALER AFFILIATES; (2) MAY BE INDEPENDENT INSURANCE AGENTS WHO OFFER INSURANCE PRODUCTS; AND/OR (3) MAY BE ENGAGED IN OTHER APPROVED OUTSIDE BUSINESS ACTIVITIES.",""
1982618,"PROVIDE INSURANCE PRODUCTS AND SERVICES PROVIDE TAX & ACCOUNTING SERVICES","DBA NAME FOR TAX ENTITY: TAX & ACCOUNTING HOLDING COMPANY, LLC"
1979220,"LONG-TERM CARE, LIFE, FIXED AND INDEXED ANNUITY AND INSURANCE POLICES.",""
1982773,"THIRD PARTY ADMINISTRATION OF QUALIFIED RETIREMENT PLANS THROUGH OUR DBA ALLIANCE RETIREMENT PLAN SOLUTIONS AND WE ALSO SELL A VERY LIMITED NUMBER OF LIFE INSURANCE POLICIES TO INDIVIDUALS.","DBA ALLIANCE RETIREMENT PLAN SOLUTIONS"
1981924,"NONE",""
1982878,"BAER WEALTH MANAGEMENT ALSO OFFERS INSURANCE PRODUCTS AND SERVICES TO ITS CLIENTS.",""
1982438,"RECOMMENDATIONS OF COMMISSIONABLE INSURANCE PRODUCTS","INDIVIDUAL NAME/CAPACITY"
1980671,"WE RECOMMEND INSURANCE PRODUCTS TO OUR CLIENTS.  WE ALSO RECOMMEND PRIVATE FUNDS TO OUR CLIENTS.","AMERICAN FUNDSTARS INSURANCE AGENCY. MY SECURITIES."
1983165,"FINANCIAL, TAX, AND ESTATE ADVISORY SERVICES; LEGACY, PHILANTHROPIC, TAX, & ESTATE PLANNING & INVESTMENT ARCHITECTURE; PREPARATION OF FINANCIAL AND TAX ANALYSES AND STATEMENTS, WEALTH ADMIN SERVICES, AND OPERATING BUSINESS CONSULTING.",""
1983174,"WE RECOMMEND INSURANCE PRODUCTS TO OUR CLIENTS.  WE ALSO RECOMMEND PRIVATE FUNDS TO OUR CLIENTS.","AMERICAN FUNDSTARS INSURANCE AGENCY. MY SECURITIES."
1950784,"TAX SERVICES",""
1977979,"RECOMMENDATIONS OF INSURANCE","INSURANCE SALES INDIVIDUAL CAPACITY"
1983261,"TAX SERVICES",""
1981927,"INSURANCE PRODUCTS AND SERVICES.","GOLDEN RESERVE, LLC"
1983270,"INSURANCE SALES","INDIVIDUAL AGENTS"
1983265,"IN ITS CAPACITIES AS A SECURITIES BROKER-DEALER & INS. AGENT, APPLICANT SELLS VARIOUS BROKERAGE & INS PRODUCTS & SERVICES TO CLIENTS, INCLUDING BROKERAGE EXECUTION SERVICES & SALE OF LIFE, ACCIDENT & HEALTH INS, FIXED ANNUITIES & VARIABLE ANNUITY PRODUCTS.",""
1970546,"SOME REPRESENTATIVES OF STRONG RETIREMENT SOLUTIONS ARE ALSO LICENSED INDEPENDENT INSURANCE AGENTS AND MAY OFFER CLIENTS INSURANCE PRODUCTS.","BALSAM SOLUTIONS"
1975587,"1.   PENSION SERVICES 2.   TRUST SERVICES 3.   ESTATE PLANNING 4.   TAX RETURN PREPARATION 5.   FINANCIAL CONSULTING",""
1981015,"FACILITATE FAMILY MEETING, LEGACY PLANNING, COMPANY BENEFITS PLANS, DIVORCE, EMPLOYMENT NEGOTIATIONS, BUY/SELL AGREEMENT, EDUCATIONAL WORKSHOP, SETTLEMENT ACTIVITIES, EDUCATION FOR CHILDREN",""
1981024,"ADVISORY AFFILIATES MAY SELL SECURITIES AND INSURANCE PRODUCTS AS AN OUTSIDE BUSINESS THROUGH A REGISTERED BROKER DEALER.",""
1983055,"RECOMMENDATION OF COMMISSIONABLE SECURITIES AND INSURANCE PRODUCTS.","INDIVIDUAL CAPACITY."
1983764,"THROUGH AN INDEPENDENT CONTRACTOR, HEIKE LAW OFFICES LLC, GVA CLIENTS MAY ENTER INTO CERTAIN LEGAL SERVICES AGREEMENTS. CLIENTS MAY ENTER INTO AN AGREEMENT WITH INDEPENDANT CONTRACTOR NORTHPOINT ACCOUNTING & TAX TO RECEIVE ACCOUNTING AND TAX SERVICES.",""
