"FilingID","Other Products and Services","Business Name"
1938294,"REGISTRANT COMPLEMENTS ITS ADVISORY SERVICES BY PROVIDING CLIENTS WITH PERSONAL ACCOUNTING/BILL PAY AND TAX PREPARATION SERVICES. IN ADDITION, WHERE APPROPRIATE, REGISTRANT INTRODUCES ITS CLIENTS TO THE BROADER NETWORK AND RESOURCES OF GOLDMAN SACHS.",""
1938351,"INSURANCE SERVICES -THROUGH CALLAN CAPITAL INSURANCE SERVICES, THE FIRM MAY PROVIDE LIFE, ACCIDENT AND HEALTH AND LONG-TERM CARE INSURANCE PRODUCTS.","CALLAN CAPITAL, LLC DBA CALLAN CAPITAL INSURANCE SERVICES"
1932305,"ACCOUNTING SERVICES",""
1936520,"WE HAVE SOLD LIFE INSURANCE AS A COMPONENT OF CREATING A COMPREHENSIVE PORTFOLIO",""
1938428,"RECOMMENDATIONS OF INSURANCE","GLOVER PARK INSURANCE"
1911665,"(I)SERVICES TO NON-US AFFILIATES: CENTRAL DEALING; TREASURY OPERATIONS;  GLOBAL DISTRIBUTOR FOR LUXEMBOURG REGISTERED FUNDS;AND MARKET NON-AFFILIATE FUND MANAGEMENT CAPABILITIES.(II) SERVICES TO AFFILIATES: PRODUCT DEVELOPMENT, IT & VENDOR MANAGEMENT.",""
1931870,"FIXED ANNUITIES, TERM LIFE INSURANCE, DISABILITY INSURANCE AND LONG-TERM CARE INSURANCE PRODUCTS.",""
1931689,"INSURANCE",""
1935689,"COMMISSION BASED SECURITIES PRODUCTS.  SECURITIES RELATED. COMMISSION BASED INSURANCE PRODUCTS.  NOT SECURITIES RELATED. LIFE AND FIXED INSURANCE","WEH INSURANCE AGENCY, INC."
1934229,"WE SELL TERM LIFE, DISABILITY AND LONG TERM CARE INSURANCE TO OUR FINANCIAL PLANNING CLIENTS AS NECESSARY PER THEIR PARTICULAR CIRCUMSTANCES AND ONLY IF THEY DO NOT WANT TO PURCHASE THE INSURANCE FROM A THIRD PARTY.",""
1939997,"INSURANCE",""
1941340,"IMPLEMENTATION OF INSURANCE SALES.","INSURANCE SALES ARE IMPLEMENTED THROUGH RPG INSURANCE SOLUTIONS."
1941808,"ANNUITIES, MUTUAL FUNDS OR OTHER INVESTMENT PRODUCTS UNDER THE BROKER DEALER SIDE OF VORPAHL WING SECURITIES",""
1941811,"INSURANCE PRODUCTS",""
1935657,"TAX PREPARATION SERVICES",""
1941846,"RESEARCH ON PRIVATE EQUITY OPPORTUNITIES IN NORTH AMERICA",""
1930092,"SEE SECTION  6.B.(2) DESCRIPTION OF PRIMARY BUSINESS",""
1939918,"GLOBAL BROKERAGE SERVICES, INC. IS A REGISTERED BROKER/DEALER WITH THE SEC AND ALLOWS IT'S ADVISERS TO SELL COMMISSIONABLE PRODUCTS TO THEIR ADVISORY CLIENTS.",""
1939903,"DISCRETIONARY ASSET MANAGEMENT SERVICES: PROMETHEUS HAS THE AUTHORITY TO SUPERVISE AND SELECT INVESTMENTS OF AND FOREACH CLIENT'S ACCOUNT IN LINE WITH THE INVESTMENT PROFILE AGREED WITH THE CLIENT AND WITHOUT PRIOR CONSULTATION WITH THE CLIENT.",""
1927631,"SAME AS LISTED IN 6.B.(2) - FINANCIAL PLANNING",""
1939995,"INSURANCE PRODUCTS",""
1938372,"ADVISORY AFFILIATES MAY SELL SECURITIES AND INSURANCE PRODUCTS AS AN OUTSIDE BUSINESS",""
1937747,"SOME INVESTMENT ADVISORY REPRESENTATIVES ARE REGISTERED INSURANCE AGENTS AND OFFER FIXED LIFE INSURANCE AND LONG TERM CARE INSURANCE",""
1943235,"RECOMMENDATIONS OF COMMISSIONABLE INSURANCE PRODUCTS","INDIVIDUAL NAME/CAPACITY"
1942626,"1) ELK RIVER WEALTH MANAGEMENT, LLC IS A DULY LICENSED INSURANCE AGENCY",""
1943512,"1) ELK RIVER WEALTH MANAGEMENT, LLC IS A DULY LICENSED INSURANCE AGENCY",""
1922986,"LIFE INSURANCE PRODUCTS",""
1939985,"HACKMAN CAPITAL PARTNERS, LLC PROVIDES OPERATING AND MANAGEMENT SERVICES TO THE PROPERTIES IN WHICH IT INVESTS",""
1930232,"INSURANCE PRODUCTS AND TAX PREPARATION SERVICES","BONFIRE INSURANCE, LLC AND BONFIRE TAX, LLC"
1944913,"INSURANCE PRODUCTS",""
1938092,"AFFILIATES OF WEALTHCARE ASSET MANAGEMENT, LLC SELL INSURANCE PRODUCTS AND TAX STRATEGY CONSULTING TO ADVISORY CLIENTS.","AMERICAN TAX STRATEGIES, LLC"
1940331,"REGISTRANT COMPLEMENTS ITS ADVISORY SERVICES BY PROVIDING CLIENTS WITH WEALTH ADVISORY SERVICES, PAYMENT SERVICES AND MARGIN LOANS. IN ADDITION, WHERE APPROPRIATE, REGISTRANT INTRODUCES  ITS CLIENTS TO THE BROADER NETWORK AND RESOURCES OF GOLDMAN SACHS.",""
1939775,"IMPLEMENTATIONS OF COMMISSIONABLE INSURANCE RECOMMENDATIONS","SANDBOX FINANCIAL OR INDIVIDUAL NAME/CAPACITY"
1926243,"PROVIDE INSURANCE SERVICES",""
1932025,"IMPLEMENTATION OF INSURANCE SALES AND COMMISSIONABLE SECURITIES.","INSURANCE SALES ARE IMPLEMENTED THROUGH THE INDIVIDUAL AND COMMISSIONABLE SECURITIES THROUGH TRIAD ADVISORS LLC."
1929099,"OUTSIDE INSURANCE, SELLING AND SERVICING FIXED INSURANCE PRODUCTS SUCH AS TERM LIFE INSURANCE, DISABILITY INSURANCE, LONG TERM CARE INSURANCE, CRITICAL ILLNESS INSURANCE AND EXECUTIVE COMPENSATION BENEFITS THROUGH VARIOUS CARRIERS",""
1941971,"THROUGH AN INDEPENDENT CONTRACTOR, HEIKE LAW OFFICES LLC, GVA CLIENTS MAY ENTER INTO CERTAIN LEGAL SERVICES AGREEMENTS. CLIENTS MAY ENTER INTO AN AGREEMENT WITH INDEPENDANT CONTRACTOR NORTHPOINT ACCOUNTING & TAX TO RECEIVE ACCOUNTING AND TAX SERVICES.",""
1941983,"PROVIDES INSURANCE PRODUCTS AND SERVICES, INCLUDING GENERAL INSURANCE CONSULTING.","FORTRESS INSURANCE BROKERAGE, LLC"
1941967,"COLUMBIA BENEFITS, LLC PROVIDES PENSION ADMINISTRATION RECORD KEEPING SERVICES FOR CLIENTS.",""
1937559,"TAX PLANNING AND FINANCIAL PLANNING","HOLISTIC TAX SOLUTIONS, LLC"
1929121,"CERTAIN PERSONS ASSOCIATED WITH CRESCENT FINANCIAL ADVISORS ARE LICENSED TO SELL INSURANCE IN THE STATE OF SOUTH CAROLINA.",""
1935500,"BROKER-DEALER; INSURANCE, MARGIN LENDING",""
1918951,"OUTSIDE INSURANCE, SELLING AND SERVICING FIXED INSURANCE PRODUCTS SUCH AS TERM LIFE INSURANCE, DISABILITY INSURANCE, LONG TERM CARE INSURANCE, CRITICAL ILLNESS INSURANCE AND EXECUTIVE COMPENSATION BENEFITS THROUGH VARIOUS CARRIERS",""
1940009,"TAX PREPARATION SERVICES",""
1923794,"TAX PREPARATION",""
1943787,"IN CERTAIN CASES, WE WILL SERVE AS EXECUTOR OF AN ESTATE AND/OR ASSIST IN THE SETTLEMENT OF THE ESTATE.",""
1945314,"IN ITS CAPACITIES AS A SECURITIES BROKER-DEALER & INS. AGENT, APPLICANT SELLS VARIOUS BROKERAGE & INS PRODUCTS & SERVICES TO CLIENTS, INCLUDING BROKERAGE EXECUTION SERVICES & SALE OF LIFE, ACCIDENT & HEALTH INS, FIXED ANNUITIES & VARIABLE ANNUITY PRODUCTS.",""
1923667,"IMPLEMENTATION OF COMMISSIONABLE SECURITIES AND INSURANCE PRODUCTS.","INDIVIDUAL CAPACITY."
1927183,"TAX SERVICES","INDIVIDUAL CAPACITY"
1944159,"FAMILY OFFICE SERVICES, INCLUDING ASSISTANCE WITH BANKING, ACCOUNTING, TAX FILINGS, ESTATES AND WILLS, LEGAL, INSURANCE, REAL ESTATE, MARKETING, CONCIERGE SERVICES, AND BUSINESS FORMATION AND MANAGEMENT.","AUGUST GROUP LEGACY AUGUST GROUP LIFESTYLE"
1941129,"ONLINE CASH MANAGEMENT SERVICES",""
1931442,"FIXED ANNUITIES",""
1941215,"TAX COMPLIANCE, AUDIT ASSISTANCE, ACCOUNTING, TAX PREPARATION",""
1940270,"CONSULTING SERVICES",""
1943802,"INSURANCE AND ANNUITY PRODUCTS TAX PLANNING AND PREPARATION  ESTATE PLANNING AND IMPLEMENTATION","TRAJAN WEALTH INSURANCE SOLUTIONS IN MOST STATES TRAJAN TAX TRAJAN ESTATE IN AZ, AND UT"
1940249,"RECOMMENDATION OF INSURANCE PRODUCTS","INDIVIDUAL NAME/CAPACITY"
1943712,"INSURANCE PRODUCTS",""
1940285,"OFFER FINANCIAL PLANNING AND FINANCIAL ORGANIZATION SERVICES FOR A FIXED OR HOURLY FEE.",""
1933545,"TAX AND ACCOUNTING SERVICES",""
1940346,"SECURITIES PRODUCTS AS A REGISTERED BROKER DEALER AND INSURANCE PRODUCTS THROUGH AN AFFILIATED LICENSED INSURANCE AGENCY.",""
1934200,"ASSOCIATED PERSONS OF THE ADVISER PROVIDE TRUSTEE SERVICES TO SOME CLIENTS. ALL CLIENT ACCOUNTS ARE HELD IN CUSTODY WITH A QUALIFIED CUSTODIAN.",""
1938519,"IN RARE AND UNIQUE CIRCUMSTANCES, RANDALL MOLER SERVES AS TRUSTEE FOR CLIENT ACCOUNTS IN HIS INDIVIDUAL CAPACITY. IN SUCH CASES, THE CLIENT'S RELATIONSHIP WITH MR. MOLER PRE-DATES THE ADVISORY RELATIONSHIP.","RGM SERVICES, LLC"
1930233,"INSURANCE PRODUCTS AND SERVICES",""
1939383,"BRIAN CLAY AND DARREN NORTHAM ARE LICENSED INSURANCE AGENTS AND OFFER INSURANCE PRODUCTS AND SERVICES THROUGH VARIOUS UNAFFILIATED AGENCIES IN THEIR INDIVIDUAL CAPACITIES ONLY.",""
1935245,"DISCRETIONARY ASSET MANAGEMENT SERVICES: PROMETHEUS HAS THE AUTHORITY TO SUPERVISE AND SELECT INVESTMENTS OF AND FOREACH CLIENT'S ACCOUNT IN LINE WITH THE INVESTMENT PROFILE AGREED WITH THE CLIENT AND WITHOUT PRIOR CONSULTATION WITH THE CLIENT.",""
1933481,"TAX CONSULTING SERVICES","RIGDEN TAX STRATEGIES"
1935343,"INSURANCE.",""
1933101,"RECOMMENDATIONS OF INSURANCE","GLOVER PARK INSURANCE"
1940159,"SOME IARS ARE ALSO REGISTERED REPRESENTATIVES OF UNITED PLANNERS FINANCIAL SERVICES.  SOME IARS ALSO OFFER TRADITIONAL INSURANCE PRODUCTS.",""
1919072,"OUTSIDE INSURANCE, SELLING AND SERVICING FIXED INSURANCE PRODUCTS SUCH AS TERM LIFE INSURANCE, DISABILITY INSURANCE, LONG TERM CARE INSURANCE, CRITICAL ILLNESS INSURANCE AND EXECUTIVE COMPENSATION BENEFITS THROUGH VARIOUS CARRIERS",""
1945086,"NMIS, AS A BROKER-DEALER, MAY ALSO PROVIDE BROKERAGE SERVICES TO ITS ADVISORY CLIENTS.",""
1934523,"LONG-TERM CARE AND LIFE INSURANCE.",""
1939533,"SALE OF INSURANCE PRODUCTS AND PROVISION OF TAX AND ACCOUNTING SERVICES",""
1943621,"RECOMMENDATION OF COMMISSIONABLE INSURANCE PRODUCTS","INDIVIDUAL CAPACITY"
1943071,"WE OFFER A TIME CAPSULE THAT PARENTS CAN SAVE SPECIAL MEMORIES OF THEIR KIDS.",""
1937998,"IMPLEMENTATION OF INSURANCE SALES AND COMMISSIONABLE SECURITIES.","INSURANCE SALES ARE IMPLEMENTED THROUGH THE INDIVIDUAL AND COMMISSIONABLE SECURITIES THROUGH M HOLDINGS SECURITIES, INC."
1945849,"ARVEST INVESTMENTS, INC. PROVIDES RETAIL SECURITIES BROKERAGE, RETIREMENT PLAN SVCS, WRAP FEE PROGRAM SPONSOR,WRAP FEE PROGRAM PORTFOLIO MGT (ADVISOR DISCRETION AND IMG PORTFOLIOS), AND PROVIDE ADVICE.",""
1942313,"INSURANCE SALES AND COMMISSIONABLE SECURITIES","INDIVIDUAL CAPACITY AND AS REGISTERED REPRESENTATIVES OF CAPITAL INVESTMENT GROUP INC."
1930904,"THE FIRM IS LICENSED AS AN INSURANCEE AGENCY AND SELLS INSURANCE PRODUCTS.",""
1926632,"TAX PREPARATION SERVICES","HELEN STEPHENS GROUP, LLC"
1933871,"CERTAIN OF WATTS GWILLIAM & CO.'S ASSOCIATED PERSONS ARE ALSO LICENSED INSURANCE AGENTS. WITHIN THIS CAPACITY, THEY MAY RECOMMEND THE PURCHASE OF INSURANCE PRODUCTS, SUCH AS INDEX ANNUITIES.",""
1934342,"IMPLEMENTATION TAX PLANNING SERVICES","TAX PLANNING IMPLEMENTED THROUGH THE INDIVIDUAL"
1935679,"REPRESENTATIVES OF THE FIRM MAY ALSO BE LICENSED INDEPENDENT INSURANCE AGENTS AND MAY OFFER INSURANCE PRODUCTS TO CLIENTS.",""
1933952,"IMPLEMENTATION OF INSURANCE SALES AN COMMISSIONABLE SECURITIES.","INSURANCE SALES ARE IMPLEMENTED THROUGH THE INDIVIDUAL AND COMMISSIONABLE SECURITIES THROUGH PURSHE KAPLAN (PKS)"
1935905,"INSURANCE PRODUCTS",""
1945333,"TAX PREPARATION SERVICES",""
1935819,"WE PROVIDE FINANCIAL PLANNING SERVICES. UPTIQ, FLOURISH, AND FOCUS RISK SOLUTIONS FACILITATE CREDIT, CASH MANAGEMENT, AND INSURANCE SOLUTIONS FOR OUR CLIENTS. DUE TO SPACE CONSTRAINTS HERE, PLEASE REFER TO SCHEDULE D - MISCELLANEOUS FOR MORE INFORMATION.",""
1924038,"FINANCIAL PLANNING SERVICES",""
1937468,"TAX RETURNS ARE COMPLETED FOR SOME CLIENTS.",""
1926889,"TAX PREPARATION SERVICES; FINANCIAL PLANNING; MEDICAL, DISABILITY, LIFE AND LONG TERM CARE INSURANCE; FIXED AND VARIABLE ANNUITIES AND SIMILAR FINANCIAL INDUSTRY PRODUCTS",""
1938817,"INSURANCE PRODUCTS",""
1936289,"ADVISORS OF MAINSAIL FINANCIAL GROUP ARE LICENSED INSURANCE PRODUCERS AND SELL INSURANCE PRODUCTS FOR WHICH THEY ARE PAID A COMMISSION.",""
1937252,"BROKERAGE SERVICES AND INSURANCE PRODUCTS",""
1934190,"LIFE AND LONG-TERM CARE INSURANCE SALES",""
1931675,"THE FIRM PROVIDES TAX PLANNING AND TAX PREPARATION SERVICES.",""
1932020,"IMPLEMENTATION OF COMMISSIONABLE INSURANCE PRODUCTS.","THE CLARUS INSURANCE GROUP, LLC. SEE ITEM 7 OF ADV1."
1936103,"OUR FIRM ALSO ACTS IN ITS CAPACITY AS A LIMITED BROKER-DEALER TO PROVIDE MUTUAL FUNDS AND VARIABLE ANNUITY PRODUCTS TO QUALIFIED RETIREMENT PLAN AND INDIVIDUAL CLIENTS. THE FIRM IS ALSO A LICENSED RESIDENT WITH THE INSURANCE DEPARTMENT OF NORTH CAROLINA.",""
1936135,"WE OFFER A TIME CAPSULE THAT PARENTS CAN SAVE SPECIAL MEMORIES OF THEIR KIDS.",""
1930882,"PERSONAL, ESTATE AND TRUST TAX PREPARATION,ESTATE PLANNING & ESTATE SETTLEMENT,  BILL PAY.",""
1945998,"INSURANCE PRODUCTS AND TAX PREPARATION SERVICES","BONFIRE INSURANCE, LLC AND BONFIRE TAX, LLC"
1943389,"THE CENTER FOR THE CIRCULAR ECONOMY.","THE CENTER FOR THE CIRCULAR ECONOMY."
1946038,"WE PROVIDE SELF-SERVICE REFERRAL SERVICES",""
1945406,"GUARDIAN RECOMMENDS PRODUCTS TO SOME CLIENTS WHICH ARE NOT HELD ON AN INVESTMENT ADVISORY PLATFORM.  SUCH PRODUCTS ARE EITHER HELD ON A BROKERAGE PLATFORM OR ARE INSURANCE PRODUCTS HELD BY THE RESPECTIVE INSURANCE CARRIER.",""
1937597,"TAX PREPARATION AND PLANNING SERVICES.",""
1938995,"IMPLEMENTATION OF INSURANCE SALES AND COMMISSIONABLE SECURITIES.","INSURANCE SALES ARE IMPLEMENTED THROUGH THE INDIVIDUAL AND COMMISSIONABLE SECURITIES THROUGH CADARET, GRANT, & CO., INC."
1936820,"IMPLEMENTATION OF INSURANCE SALES","INDIVIDUAL CAPACITY"
1935091,"FIXED-INSURANCE PRODUCTS, LIFE INSURANCE AND LONG-TERM CARE","FLP INSURANCE SERVICES"
1931128,"CERTAIN EMPLOYEES OF SC&H FINANCIAL ADVISORS, INC. ARE ALSO CPAS AND PROVIDE TAX PLANNING AND ACCOUNTING SERVICES TO CLIENTS. CERTAIN EMPLOYEES OF SC&H FINANCIAL ADVISORS ARE INSURANCE PRODUCERS AND RECOMMEND AND SELL INSURANCE PRODUCTS TO CLIENTS","SC&H GROUP, INC., WHICH IS THE PARENT COMPANY OF SC&H FINANCIAL ADVISORS, PROVIDES TAX PLANNING & ACCOUNTING SERVICES."
1942021,"CHARTER CAPITAL MANAGEMENT PROVIDES FINANCIAL PLANNING AND ACCOUNTING/TAX PREP. SERVICES TO CERTAIN ADVISORY CLIENTS.",""
1931413,"WE PROVIDE TAX, ACCOUNTING AND FAMILY WEALTH MANAGEMENT SERVICES FOR THE CLIENTS WE MANAGE ASSETS. WE CHARGE A NOMINAL FEE FOR TAX RETURN PREPARATION. WE DO NOT PERFORM TAX OR ACCOUNTING SERVICES FOR THE GENERAL PUBLIC.",""
1935765,"INSURANCE PRODUCTS SOLD BY INVESTMENT ADVISOR REPRESENTATIVES.",""
1934963,"TERM, WHOLE LIFE AND UNIVERSAL LIFE INSURANCE,FEE BASED VARIABLE ANNUITIES AND FIXED ANNUITIES",""
1936323,"LIFE AND HEALTH AND PROPERTY CASUALTY INSURANCE PRODUCTS AND SERVICES","ACRISURE NJ PARTNERS INSURANCE SERVICES, LLC"
1936489,"RECOMMENDATIONS OF COMMISSIONABLE INSURANCE PRODUCTS","INDIVIDUAL NAME/CAPACITY"
1944367,"LIFESTYLE MANAGEMENT AND MARKETING SERVICES, BILL PAY SERVICES AND CHARITABLE GIVING AND CONSULTING SERVICES.","LIFFESTYLE & MARKETING SERVICES PROVIDED UNDER NORTHROCK-X. CHARITABLE GIVING & CONSULTING SERVICES UNDER FOUNDATION X."
1927987,"BILL PAYING SERVICES",""
1945546,"ROUND ROCK TAX ADVISORS PLLC IS AN AFFILIATE OF THE ADVISOR THAT OFFERS TAX CONSULTING SERVICES FOR A FEE UNDER A SEPARATE AGREEMENT WITH CLIENTS WHO WANT TO UTILIZE ITS SERVICES.","ROUND ROCK TAX ADVISORS PLLC"
1943226,"INSURANCE PRODUCTS SUCH AS UNREGISTERED ANNUITIES, LIFE, DISABILITY, AND LONG-TERM CARE COVERAGE; ACCOUNTING; AND TAX RETURN PREPARATION SERVICES THROUGH VARIOUS AFFILIATED OR RELATED ENTITIES (SEE ITEM 7).",""
1945996,"SERVICES INCLUDE MANAGEMENT OF MINERAL ASSETS AND ACCOUNTING AND BACK-OFFICE PROCESS FOR CLIENTS AND PARTNERSHIPS",""
1937194,"CERTAIN REPRESENTATIVES WILL SELL FIXED INSURANCE OR FIXED ANNUITY PRODUCTS AS LICENSED INSURANCE AGENTS.",""
1937216,"ESTATE PLANNING, TAX PREP, FINANCIAL PLANNING",""
1929827,"INSURANCE",""
1927140,"COMMISSIONABLE INSURANCE PRODUCTS","CONDUCTED UNDER INDIVIDUAL CAPACITIES"
1937296,"FINANCIAL PLANNING AND CONSULTING SERVICES RANGING FROM CASH BUDGETING TO LIFESTYLE MANAGEMENT SERVICES.",""
1931021,"IN ADDITION TO INVESTMENT ADVICE, WE PROVIDE WEALTH MANAGEMENT SERVICES TO OUR CLIENTS; SUCH AS, WORKING WITH THEIR ESTATE PLANNING ATTORNEYS, BANKERS, INSURANCE AGENTS AND ANSWERING OTHER FINANCIALLY RELATED QUESTIONS.",""
1936039,"FIXED LIFE AND HEALTH INSURANCE PRODUCTS",""
1937872,"ACCOUNTING AND TAX SERVICES",""
1932171,"RECOMMENDATIONS OF INSURANCE PRODUCTS","INDIVIDUAL NAME/CAPACITY"
1935682,"OUR FIRM ALSO IS REGISTERED AS AN INSURANCE BROKERAGE FIRM. CLIENTS MAY BE SOLICITED TO USE THE SERVICES OF THIS FIRM (SPECIFICALLY, INSURANCE PRODUCTS) AND OUR REPRESENTATIVES WILL RECEIVE COMMISSIONS AS A RESULT OF THESE TRANSACTIONS.",""
1944955,"SECURITIES AND INSURANCE SALES AND SERVICE.","LAURA FALLON-BURNS AND CARL BURNHAM III IN THEIR INDIVIDUAL CAPACITY AS INSURANCE AGENTS."
1935195,"FIXED ANNUITIES, NON-VARIABLE LIFE INSURANCE (TERM, WHOLE, OR UNIVERSAL WITHOUT-ACCOUNTS, AND LONG-TERM CARE INSURANCE)",""
1943345,"CONSULTING SERVICES DEFINED AS ""PLATFORM SERVICES"" AS MORE FULLY DESCRIBED IN PART 2A OF OUR FORM ADV.",""
1932523,"IMPLEMENTATIONS OF INSURANCE RECOMMENDATIONS AND REFERRAL OF COMMISSIONABLE SECURITIES","INDIVIDUAL CAPACITY OF ADVISORY PERSONS"
1937419,"FIXED, VARIABLE, DISABILITY, HEALTH, LONG TERM CARE AND LIFE INSURANCE PRODUCTS",""
1927423,"INCOME TAX RETURN PREPARATION SERVICE","IRWIN SCHAFFER, LLC"
1935172,"SYLVIA CUBILLO GONZALEZ IS ALSO A INVESTMENT ADVISOR REPRESENTATIVE FOR ANOTHER FIRM.",""
1923091,"LIFE INSURANCE AND ANNUITY SALES",""
1936960,"ESTATE PLANNING, TAX PREP, FINANCIAL PLANNING",""
1931463,"INSURANCE BUSINESS",""
1933001,"SLP WEALTH ADDITIONALLY PROVIDES TAX PREPARATION AND TAX FILING SERVICES.",""
1937185,"OUR IARS MAY RECOMMEND AND SELL ANNUITIES, LIFE INSURANCE, SUPPLEMENTAL HEALTH INSURANCE, INDIVIDUAL HEALTH INSURANCE, LTC INSURANCE AND FUNERAL TRUST",""
1946593,"INCOME TAX RETURN PREPARATION SERVICE","IRWIN SCHAFFER, LLC"
1931955,"TAX PREPARATION SERVICES",""
1947515,"LIFESTYLE MANAGEMENT AND MARKETING SERVICES, BILL PAY SERVICES AND CHARITABLE GIVING AND CONSULTING SERVICES.","LIFFESTYLE & MARKETING SERVICES PROVIDED UNDER NORTHROCK-X. CHARITABLE GIVING & CONSULTING SERVICES UNDER FOUNDATION X."
1943144,"TAX PLANNING AND FINANCIAL PLANNING","HOLISTIC TAX SOLUTIONS, LLC"
1943261,"BROKER-DEALER; INSURANCE, MARGIN LENDING",""
1937359,"FIXED INSURANCE PRODUCTS; 403(B) LOAN PROCESSING.",""
1937365,"INSURANCE PRODUCTS",""
1937395,"BROKER DEALER BUSINESS INCLUDING BUT NOT LIMITED TO STOCKS, BONDS, MUTUAL FUNDS, EXCHANGE TRADES FUNDS/NOTES, VARIABLE ANNUITIES, REITS, BDC, OPTIONS.",""
1934779,"COMMISSIONABLE SECURITIES AND INSURANCE PRODUCTS","INDIVIDUAL CAPACITY AND THROUGH LPL FINANCIAL"
1937442,"CERTAIN REPRESENTATIVES WILL SELL FIXED INSURANCE OR FIXED ANNUITY PRODUCTS AS LICENSED INSURANCE AGENTS.",""
1943670,"ACCOUNTING SERVICES PROVIDE BY STEPHEN MONTHIE",""
1947823,"INSURANCE PRODUCTS & SERVICES. COMMISSIONABLE SECURITIES SALES THROUGH PRIVATE CLIENT SERVICES, LLC, MEMBER FINRA/SIPC.",""
1933687,"ANNUITIES AND LIFE INSURANCE",""
1922526,"STOCKS, BONDS, MUTUAL FUNDS",""
1917571,"BUSINESS CONSULTING SERVICES.",""
1934715,"INSURANCE PRODUCTS (E.G. INDEX UNIVERSAL LIFE INSURANCE, ANNUITIES, TERM INSURANCE) AND PUBLIC SPEAKING (E.G. KEYNOTE, EDUCATIONAL SEMINARS) AND TAX REFERRAL (E.G. REFERRAL TO TAX SPECIALIST TO EVALUATE APPROPRIATE STRATEGY, ASSIST CLIENT TO GATHER DATA)","PUBLIC SPEAKING OFFERED THRU AFFILIATED CO, THE ECONOLOGICS INSTITUTE, LLC. TAX REFERRAL THRU ECONOLOGICS TAX SOLUTIONS, LLC."
1934553,"MUTUAL FUND RESEARCH",""
1935433,"BROKER DEALER BUSINESS INCLUDING BUT NOT LIMITED TO STOCKS, BONDS, MUTUAL FUNDS, EXCHANGE TRADES FUNDS/NOTES, VARIABLE ANNUITIES, REITS, BDC, OPTIONS.",""
1923172,"IMPLEMENTATION OF INSURANCE SALES","INSURANCE SALES ARE IMPLEMENTED THROUGH THE INDIVIDUAL THROUGH BAMBOO INSURANCE SERVICES INC"
